,课程,知识点,相关课程
463,高等化工热力学（上）,"热力学第一定律,热力学第二定律,热力学第三定律,热力学零定律,热力学基本定律,热力学状态函数,焓、熵和吉布斯自由能,热力学平衡,化学平衡,电化学平衡,热力学应用,材料工程,生物工程中的热力学,热力学数据表",微积分，物理化学
464,高等化工热力学（下）,"热力学第一定律,热力学第二定律,热力学第三定律,热力学零定律,热力学基本定律,平衡与稳定性,物质性质计算,溶液热力学,热机与能量循环,热机原理,能量循环,非理想气体,表面张力,化工过程优化,能源转换效率,环境工程中的热力学","高等化工热力学（上）,微积分，物理化学"
465,建筑环境学,"建筑外环境,室内热湿环境,绿化与景观,室内空气质量,空气流动,声环境,光环境,人体健康与舒适度,环境控制方法,建筑技术,环境学",
466,无机化学,"无机化学概述,化学键理论,结构化学,晶体结构,配位化合物,酸碱理论,氧化还原反应,无机合成,无机化合物性质,金属与非金属,应用化学,无机材料",
467,工业生产管理概论,"工业生产系统概述,生产运营战略,新产品设计与开发,生产能力规划,生产流程与设施布置,生产作业系统设计,设施选址规划,质量管理与控制,需求预测,库存管理,综合计划与主生产计划,物料需求计划,详细生产作业计划,项目管理,精益生产方式,供应链,项目管理","数理统计及概率论,微积分"
468,茶艺,"茶文化历史,文化,儒释道与茶文化,茶艺解读,茶圣陆羽与《茶经》,茶艺层次结构,植物学,泡茶操作与品鉴,冲泡方法,茶艺美学,创意设计",
469,汽车构造,"传动系统,行驶系统,转向系统,制动系统,新能源汽车底盘,电池管理,电动驱动系统,电动车辆控制系统,防抱死制动系统,气压制动系统","机械制图,理论力学,材料力学,机械理论"
470,网络综合布线,"综合布线定义,系统架构,布线系统标准,布线材料,系统设计,需求分析,系统规划,网络设备安装与调试,无线网络,绿色布线",计算机网络
471,生活中的货币时间价值,"货币时间价值概述,货币时间价值计算,复利计算,现值与终值,投资理财案例,储蓄,投资,财务计算器使用,经济学,心理学,社会学,风险管理",
472,庄子哲学导读,"哲学,《庄子》,《逍遥游》,《齐物论》,《养生主》,《人间世》,《德充符》,《大宗师》,《应帝王》",
473,教育学导引,"教育学,教育原理,教育研究方法,教育领域从业人员素质,教育伦理与道德,教育与社会",
474,电子信息科学与技术导引,"电磁学史,分析数学史,电磁场,物质与电磁场的相互作用,电势与电路,比特与逻辑,电路分析,数字逻辑,逻辑门,程序设计,处理器架构,数据结构,算法设计,通信原理,网络协议,多媒体技术,电子信息科学与技术的知识体系",
475,光学工程基础,"应用光学,理想光学系统,光线追迹,成像质量,光学系统设计,物理光学,光的电磁理论基础,干涉光学系统,衍射光学系统,晶体光学,傅里叶光学",微积分
476,中华戏曲艺术鉴赏,"中华文化,戏曲艺术概述,戏曲剧种,戏曲表演艺术,戏曲音乐与伴奏,戏曲剧本与文学,戏曲鉴赏方法,戏曲与社会,戏曲美学",
477,解剖与生活,"人体结构,解剖学,消化系统结构,营养吸收,消化系统,呼吸与生活,呼吸系统疾病,泌尿系统结构,生殖与生活,运动与生活,骨骼系统,肌肉系统,运动损伤,心血管系统,眼的结构,视觉过程,耳的结构,神经系统,内分泌系统,激素调节",
478,女性修与养：女性运动、营养与健康,"女性生理,营养基本原理,运动生理学,不同生命阶段的女性健康,孕期营养需求,营养补充与哺乳期间的饮食建议,更年期,平衡饮食,运动,心理健康,压力管理",
479,谈医说药,"药物发现史,药理学,临床药物,药物安全性,合理用药,药物与疾病,临床案例分析,心血管药物,抗生素,抗肿瘤药物,精神科药物,内分泌药物,免疫调节剂",
480,现代生物学导论,"细胞生物学,细胞结构,细胞生长与分裂,遗传学,遗传基础,遗传变异,发育生物学,生物演化,自然选择,遗传漂变,生态学,群落生态学,生物技术,重组DNA技术,生物芯片技术,生物物理学,生物信息学,生物化学,行为生物学",
481,儿科护理学,"儿童保健,预防接种,营养需求,喂养指导,生长发育评估,生长曲线,疾病护理,心血管系统,神经系统,血液系统疾病,内分泌系统,急救护理,急救原则,创伤护理,心理社会支持,心理学",护理学
482,校园心理学：让每一个学生顺利成长,"心理学,心理健康教育基础理论,学生心理健康维护,情感教育,人际关系,人格培养,自我心理修养,性心理教育,学生心理行为,学校团体训练的课程设计与实施,心理健康教育",
483,服装数字科技,"计算机辅助设计,服装CAD软件,图案设计,样板制作,虚拟服装,3D模拟,服装人体数字化,人体测量,三维扫描,数字人体模型,个性化设计,尺寸匹配,供应链,功能性纺织品,电子纺织品,导电纤维,传感器集成,服装3D打印,数据分析,市场趋势预测,消费者行为分析,文化遗产保护",计算机基础知识
484,护理研究方法,"文献检索,研究方案的设计,研究设计,资料收集方法,研究计划书撰写,论文结构",护理学
485,信息素养-互联网+时代的学习与生活,"互联网+时代的学习生活,信息的获取与鉴别,搜索引擎,信息技术新发展与应用,学术和专利检索,信息的存储与处理,信息安全,信息伦理,信息素养综合能力",计算机基础知识
486,教学的艺术,"教学艺术,教学设计,教学实施,课堂管理,教学情境创设,教学评价,个性发展,教育学","心理学,教育学"
487,建筑材料,"建筑材料,无机非金属材料,有机材料,金属材料,复合材料,功能性材料,建筑材料的检测与评估,绿色建筑材料,工程材料",
488,公益众筹,"公益众筹,社会学,公益组织的品牌建设,价值观塑造,目标设定,可行性分析,撰写众筹计划书,计划书结构,项目推广,营销策略,项目执行,后期管理,风险管理",
489,中国电影经典影片鉴赏,"中国电影的历史背景,文化,电影美学与理论,经典影片赏析,文化与社会影响,电影制作技术,艺术表现,视频顺序,主题推测",
490,肿瘤生物学概论,"医学,生物学,化学,药学,生医工程,物理学,肿瘤学,细胞生物学,遗传学,肿瘤微环境,肿瘤诊断与治疗,分子靶向治疗,免疫疗法,肿瘤遗传学,个体化医疗,肿瘤流行病学与预防,肿瘤研究进展与未来方向",
491,华尔兹舞基础教程,"运动,文化,华尔兹舞的历史,文化背景,基本步伐与技巧,音乐节奏,节拍感知,舞蹈礼仪,社交规范",
492,低频电子线路,"电子元器件,基本放大电路,反馈放大电路,集成运放及其应用电路,运算放大器,稳定性分析,频率响应分析,信号模型,直流偏置,二极管,晶体管","高等数学,线性代数,数字电路,微积分"
493,装饰图案,"装饰图案的历史,传统文化精神,文化,艺术演变,艺术特征,形式美法则,素材与写生,工艺与材料,审美能力",
494,国防教育——热点问题,"国防教育的重要性,国家安全,战略思维,国际政治经济形势分析,地区冲突与和平进程,军事技术发展与应用,国防科技创新与应用,军队现代化建设的目标与路径,法律法规,国防动员,民防建设,爱国主义,国防教育",
495,软件理论基础,"数理逻辑,集合论,有限自动机,正则语言,上下文无关文法,图灵机,计算复杂性,NP问题与P问题,计算复杂性理论,不可判定问题","离散数学,数据结构,汇编语言"
496,传染病学,"传染病学,病原体,传染病流行,传染病的基本特征,传染病的临床特征,免疫应答机制,医学,病毒性疾病,病毒性肝炎,流行性乙型脑炎,肾综合征出血热,细菌性疾病,螺旋体感染,原虫感染,蠕虫病",病理生理学
497,人类遗传探秘,"遗传学,形态特征的遗传规律,外貌特征的变异与遗传,受精过程,胚胎发育,基因工程,人类健康,性别决定,长寿、智力的遗传,胞的分化,肿瘤的遗传,血型遗传,生理学",
498,诗情画意的光学,"光学基础,日常生活中的光现象,天空亮度的成因,光速测量方法,光的波动理论,粒子理论,电磁波理论,双缝干涉实验,薄膜干涉原理,等厚干涉现象,光的衍射,光栅衍射,光的偏振,光的波粒二象性",
499,JAVA程序设计进阶,"Java的字节码技术,Java反射与代理,集合类,垃圾回收机制,Java虚拟机,网络编程,Java线程,线程状态,生命周期,线程同步与互斥,线程间通信,死锁的预防与检测,TCP/IP协议,Socket编程,多线程服务器实现,网络数据流处理,内存管理区域,类加载器系统,性能监控工具,GC策略选择,动态代理,面向切面编程",JAVA程序设计
500,物理化学,"热力学基本定律,热力学第一定律,热力学第二定律,热力学第三定律,多组分溶液系统,化学平衡,相平衡,Le Chatelier原理,电化学,电池的基本原理,电解质溶液的导电性,电化学腐蚀与防护,化学动力学,反应速率,速率定律,催化作用,酶催化,统计热力学,函数,熵的统计定义,宏观热力学",高等数学
